key,es_ES,en_En
Tareas Pendientes,Tareas Pendientes,Pending Tasks
Escribe tu tarea,Escribe tu tarea,Write your task
Atras,Atrás,Back
Crear,Crear,Create
Cambiar tema,Cambiar tema,Change theme
Idioma,Idioma,Language
Eliminar tareas,Eliminar tareas,Delete all tasks
Salir,Salir,Exit
Comenzar,Comenzar,Start
Editar,Editar,Edit
Reiniciar,Reiniciar,Reset
Eliminar,Eliminar,Delete
tareas_completadas,Tareas Completadas,Completed Tasks
Duracion,Duración,Duration
Tiempo Restante,Tiempo Restante,Time Left
Borrar guardados y salir,Borrar guardados y salir,Erase saves and exit
Sonido,Sonido,Sound
Interfaz,Interfaz,Interface
Guardados,Guardados,Saves
Siempre encima,Siempre encima,Always on top
